        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -5.7868578
                  0.5009                      -5.7779865
                  0.5018                      -5.7691476
                  0.5027                      -5.7603413
                  0.5036                      -5.7515673
                  0.5045                      -5.7428256
                  0.5054                      -5.7341161
                  0.5063                       -5.725439
                  0.5072                      -5.7167943
                  0.5081                      -5.7081817
                   0.509                      -5.6996012
                  0.5099                      -5.6910525
                  0.5108                       -5.682536
                  0.5117                      -5.6740516
                  0.5126                      -5.6655992
                  0.5135                      -5.6571785
                  0.5144                      -5.6487894
                  0.5153                      -5.6404323
                  0.5162                       -5.632107
                  0.5171                      -5.6238133
                   0.518                      -5.6155512
                  0.5189                      -5.6073204
                  0.5198                      -5.5991212
                  0.5207                      -5.5909535
                  0.5216                      -5.5828173
                  0.5225                      -5.5747122
                  0.5234                      -5.5666381
                  0.5243                      -5.5585954
                  0.5252                      -5.5505838
                  0.5261                      -5.5426033
                   0.527                      -5.5346537
                  0.5279                      -5.5267347
                  0.5288                      -5.5188467
                  0.5297                      -5.5109894
                  0.5306                      -5.5031629
                  0.5315                      -5.4953668
                  0.5324                       -5.487601
                  0.5333                      -5.4798658
                  0.5342                       -5.472161
                  0.5351                      -5.4644865
                   0.536                       -5.456842
                  0.5369                      -5.4492273
                  0.5378                      -5.4416428
                  0.5387                      -5.4340883
                  0.5396                      -5.4265635
                  0.5405                      -5.4190684
                  0.5414                      -5.4116026
                  0.5423                      -5.4041665
                  0.5432                      -5.3967599
                  0.5441                      -5.3893826
                   0.545                      -5.3820344
                  0.5459                       -5.374715
                  0.5468                      -5.3674248
                  0.5477                      -5.3601635
                  0.5486                      -5.3529311
                  0.5495                      -5.3457275
                  0.5504                      -5.3385522
                  0.5513                      -5.3314053
                  0.5522                      -5.3242867
                  0.5531                      -5.3171964
                   0.554                      -5.3101344
                  0.5549                      -5.3031003
                  0.5558                       -5.296094
                  0.5567                      -5.2891155
                  0.5576                      -5.2821646
                  0.5585                      -5.2752413
                  0.5594                      -5.2683452
                  0.5603                      -5.2614766
                  0.5612                      -5.2546352
                  0.5621                      -5.2478209
                   0.563                      -5.2410335
                  0.5639                      -5.2342727
                  0.5648                      -5.2275388
                  0.5657                      -5.2208316
                  0.5666                      -5.2141508
                  0.5675                      -5.2074963
                  0.5684                      -5.2008678
                  0.5693                      -5.1942655
                  0.5702                      -5.1876894
                  0.5711                       -5.181139
                   0.572                      -5.1746144
                  0.5729                      -5.1681151
                  0.5738                      -5.1616415
                  0.5747                      -5.1551933
                  0.5756                      -5.1487704
                  0.5765                      -5.1423725
                  0.5774                      -5.1359993
                  0.5783                      -5.1296511
                  0.5792                      -5.1233278
                  0.5801                      -5.1170292
                   0.581                      -5.1107552
                  0.5819                      -5.1045053
                  0.5828                      -5.0982796
                  0.5837                       -5.092078
                  0.5846                      -5.0859005
                  0.5855                      -5.0797471
                  0.5864                      -5.0736173
                  0.5873                      -5.0675111
                  0.5882                      -5.0614284
                  0.5891                       -5.055369
                    0.59                       -5.049333
                  0.5909                      -5.0433199
                  0.5918                      -5.0373301
                  0.5927                      -5.0313632
                  0.5936                      -5.0254192
                  0.5945                      -5.0194978
                  0.5954                      -5.0135987
                  0.5963                      -5.0077223
                  0.5972                      -5.0018682
                  0.5981                      -4.9960364
                   0.599                      -4.9902266
                  0.5999                      -4.9844385
                  0.6008                      -4.9786725
                  0.6017                      -4.9729283
                  0.6026                      -4.9672058
                  0.6035                      -4.9615047
                  0.6044                      -4.9558248
                  0.6053                      -4.9501663
                  0.6062                      -4.9445291
                  0.6071                      -4.9389129
                   0.608                      -4.9333176
                  0.6089                      -4.9277429
                  0.6098                       -4.922189
                  0.6107                      -4.9166559
                  0.6116                      -4.9111433
                  0.6125                      -4.9056512
                  0.6134                      -4.9001791
                  0.6143                      -4.8947271
                  0.6152                      -4.8892951
                  0.6161                      -4.8838832
                   0.617                      -4.8784912
                  0.6179                      -4.8731187
                  0.6188                      -4.8677659
                  0.6197                      -4.8624325
                  0.6206                      -4.8571185
                  0.6215                      -4.8518237
                  0.6224                      -4.8465479
                  0.6233                      -4.8412913
                  0.6242                      -4.8360537
                  0.6251                      -4.8308349
                   0.626                      -4.8256348
                  0.6269                      -4.8204531
                  0.6278                        -4.81529
                  0.6287                      -4.8101453
                  0.6296                       -4.805019
                  0.6305                      -4.7999107
                  0.6314                      -4.7948203
                  0.6323                       -4.789748
                  0.6332                      -4.7846936
                  0.6341                       -4.779657
                   0.635                      -4.7746379
                  0.6359                      -4.7696361
                  0.6368                      -4.7646519
                  0.6377                       -4.759685
                  0.6386                      -4.7547354
                  0.6395                      -4.7498027
                  0.6404                      -4.7448869
                  0.6413                      -4.7399881
                  0.6422                      -4.7351062
                  0.6431                       -4.730241
                   0.644                      -4.7253922
                  0.6449                      -4.7205597
                  0.6458                      -4.7157437
                  0.6467                      -4.7109441
                  0.6476                      -4.7061607
                  0.6485                      -4.7013936
                  0.6494                      -4.6966422
                  0.6503                      -4.6919067
                  0.6512                       -4.687187
                  0.6521                       -4.682483
                   0.653                      -4.6777947
                  0.6539                      -4.6731217
                  0.6548                      -4.6684643
                  0.6557                      -4.6638224
                  0.6566                      -4.6591958
                  0.6575                      -4.6545843
                  0.6584                      -4.6499877
                  0.6593                      -4.6454064
                  0.6602                      -4.6408401
                  0.6611                      -4.6362887
                   0.662                      -4.6317521
                  0.6629                      -4.6272301
                  0.6638                      -4.6227229
                  0.6647                      -4.6182304
                  0.6656                      -4.6137525
                  0.6665                      -4.6092891
                  0.6674                        -4.60484
                  0.6683                      -4.6004053
                  0.6692                      -4.5959852
                  0.6701                      -4.5915793
                   0.671                      -4.5871876
                  0.6719                      -4.5828099
                  0.6728                      -4.5784465
                  0.6737                      -4.5740973
                  0.6746                      -4.5697622
                  0.6755                      -4.5654411
                  0.6764                      -4.5611337
                  0.6773                      -4.5568404
                  0.6782                      -4.5525611
                  0.6791                      -4.5482958
                    0.68                      -4.5440445
                  0.6809                      -4.5398068
                  0.6818                       -4.535583
                  0.6827                      -4.5313729
                  0.6836                      -4.5271765
                  0.6845                      -4.5229939
                  0.6854                      -4.5188249
                  0.6863                      -4.5146697
                  0.6872                      -4.5105283
                  0.6881                      -4.5064005
                   0.689                      -4.5022863
                  0.6899                      -4.4981856
                  0.6908                      -4.4940986
                  0.6917                      -4.4900253
                  0.6926                      -4.4859655
                  0.6935                      -4.4819193
                  0.6944                      -4.4778865
                  0.6953                      -4.4738673
                  0.6962                      -4.4698617
                  0.6971                      -4.4658697
                   0.698                       -4.461891
                  0.6989                      -4.4579257
                  0.6998                       -4.453974
                  0.7007                      -4.4500357
                  0.7016                       -4.446111
                  0.7025                      -4.4421995
                  0.7034                      -4.4383014
                  0.7043                      -4.4344167
                  0.7052                      -4.4305455
                  0.7061                      -4.4266876
                   0.707                       -4.422843
                  0.7079                      -4.4190115
                  0.7088                      -4.4151935
                  0.7097                      -4.4113888
                  0.7106                      -4.4075974
                  0.7115                      -4.4038191
                  0.7124                      -4.4000539
                  0.7133                       -4.396302
                  0.7142                      -4.3925634
                  0.7151                      -4.3888379
                   0.716                      -4.3851254
                  0.7169                      -4.3814259
                  0.7178                      -4.3777396
                  0.7187                      -4.3740664
                  0.7196                      -4.3704062
                  0.7205                      -4.3667589
                  0.7214                      -4.3631244
                  0.7223                      -4.3595029
                  0.7232                      -4.3558945
                  0.7241                      -4.3522988
                   0.725                       -4.348716
                  0.7259                      -4.3451458
                  0.7268                      -4.3415885
                  0.7277                       -4.338044
                  0.7286                      -4.3345122
                  0.7295                       -4.330993
                  0.7304                      -4.3274862
                  0.7313                      -4.3239922
                  0.7322                      -4.3205108
                  0.7331                      -4.3170419
                   0.734                      -4.3135855
                  0.7349                      -4.3101413
                  0.7358                      -4.3067097
                  0.7367                      -4.3032905
                  0.7376                      -4.2998836
                  0.7385                       -4.296489
                  0.7394                      -4.2931065
                  0.7403                      -4.2897363
                  0.7412                      -4.2863783
                  0.7421                      -4.2830325
                   0.743                      -4.2796987
                  0.7439                      -4.2763768
                  0.7448                      -4.2730671
                  0.7457                      -4.2697694
                  0.7466                      -4.2664836
                  0.7475                      -4.2632096
                  0.7484                      -4.2599474
                  0.7493                      -4.2566971
                  0.7502                      -4.2534586
                  0.7511                      -4.2502318
                   0.752                      -4.2470166
                  0.7529                       -4.243813
                  0.7538                       -4.240621
                  0.7547                      -4.2374407
                  0.7556                      -4.2342719
                  0.7565                      -4.2311145
                  0.7574                      -4.2279683
                  0.7583                      -4.2248337
                  0.7592                      -4.2217105
                  0.7601                      -4.2185986
                   0.761                      -4.2154979
                  0.7619                      -4.2124082
                  0.7628                      -4.2093299
                  0.7637                      -4.2062627
                  0.7646                      -4.2032066
                  0.7655                      -4.2001616
                  0.7664                      -4.1971273
                  0.7673                      -4.1941042
                  0.7682                       -4.191092
                  0.7691                      -4.1880908
                    0.77                      -4.1851003
                  0.7709                      -4.1821204
                  0.7718                      -4.1791514
                  0.7727                      -4.1761932
                  0.7736                      -4.1732457
                  0.7745                      -4.1703087
                  0.7754                      -4.1673822
                  0.7763                      -4.1644663
                  0.7772                       -4.161561
                  0.7781                      -4.1586662
                   0.779                      -4.1557817
                  0.7799                      -4.1529075
                  0.7808                      -4.1500437
                  0.7817                      -4.1471903
                  0.7826                      -4.1443471
                  0.7835                      -4.1415141
                  0.7844                      -4.1386912
                  0.7853                      -4.1358784
                  0.7862                      -4.1330759
                  0.7871                      -4.1302834
                   0.788                      -4.1275008
                  0.7889                      -4.1247281
                  0.7898                      -4.1219654
                  0.7907                      -4.1192127
                  0.7916                      -4.1164699
                  0.7925                      -4.1137368
                  0.7934                      -4.1110133
                  0.7943                      -4.1082997
                  0.7952                      -4.1055958
                  0.7961                      -4.1029016
                   0.797                       -4.100217
                  0.7979                      -4.0975417
