        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                 -1.9286549e-015
                  0.0002                  -0.00031436892
                  0.0004                  -0.00063387083
                  0.0006                  -0.00095852553
                  0.0008                   -0.0012883521
                   0.001                   -0.0016233688
                  0.0012                    -0.001963602
                  0.0014                   -0.0023090588
                  0.0016                   -0.0026597559
                  0.0018                   -0.0030157108
                   0.002                   -0.0033769325
                  0.0022                    -0.003743439
                  0.0024                   -0.0041152481
                  0.0026                   -0.0044923716
                  0.0028                   -0.0048748202
                   0.003                   -0.0052626023
                  0.0032                   -0.0056557325
                  0.0034                    -0.006054223
                  0.0036                    -0.006458084
                  0.0038                    -0.006867325
                   0.004                   -0.0072819546
                  0.0042                   -0.0077019827
                  0.0044                   -0.0081274184
                  0.0046                   -0.0085582697
                  0.0048                   -0.0089945444
                   0.005                   -0.0094362495
                  0.0052                   -0.0098833922
                  0.0054                     -0.01033598
                  0.0056                    -0.010794018
                  0.0058                    -0.011257512
                   0.006                    -0.011726469
                  0.0062                    -0.012200893
                  0.0064                    -0.012680789
                  0.0066                    -0.013166163
                  0.0068                    -0.013657017
                   0.007                    -0.014153357
                  0.0072                    -0.014655186
                  0.0074                    -0.015162507
                  0.0076                    -0.015675324
                  0.0078                    -0.016193638
                   0.008                    -0.016717454
                  0.0082                    -0.017246773
                  0.0084                    -0.017781598
                  0.0086                     -0.01832193
                  0.0088                     -0.01886777
                   0.009                    -0.019419121
                  0.0092                    -0.019975984
                  0.0094                    -0.020538358
                  0.0096                    -0.021106246
                  0.0098                    -0.021679648
                    0.01                    -0.022258563
                  0.0102                    -0.022842993
                  0.0104                    -0.023432936
                  0.0106                    -0.024028393
                  0.0108                    -0.024629364
                   0.011                    -0.025235846
                  0.0112                    -0.025847841
                  0.0114                    -0.026465347
                  0.0116                    -0.027088361
                  0.0118                    -0.027716885
                   0.012                    -0.028350914
                  0.0122                    -0.028990449
                  0.0124                    -0.029635487
                  0.0126                    -0.030286026
                  0.0128                    -0.030942064
                   0.013                    -0.031603598
                  0.0132                    -0.032270627
                  0.0134                    -0.032943147
                  0.0136                    -0.033621156
                  0.0138                     -0.03430465
                   0.014                    -0.034993628
                  0.0142                    -0.035688085
                  0.0144                    -0.036388019
                  0.0146                    -0.037093425
                  0.0148                      -0.0378043
                   0.015                    -0.038520642
                  0.0152                    -0.039242444
                  0.0154                    -0.039969705
                  0.0156                    -0.040702419
                  0.0158                    -0.041440582
                   0.016                    -0.042184191
                  0.0162                     -0.04293324
                  0.0164                    -0.043687725
                  0.0166                    -0.044447642
                  0.0168                    -0.045212985
                   0.017                     -0.04598375
                  0.0172                    -0.046759931
                  0.0174                    -0.047541524
                  0.0176                    -0.048328522
                  0.0178                    -0.049120922
                   0.018                    -0.049918717
                  0.0182                    -0.050721901
                  0.0184                     -0.05153047
                  0.0186                    -0.052344417
                  0.0188                    -0.053163736
                   0.019                    -0.053988422
                  0.0192                    -0.054818468
                  0.0194                    -0.055653868
                  0.0196                    -0.056494616
                  0.0198                    -0.057340706
                    0.02                     -0.05819213
                  0.0202                    -0.059048883
                  0.0204                    -0.059910957
                  0.0206                    -0.060778347
                  0.0208                    -0.061651045
                   0.021                    -0.062529044
                  0.0212                    -0.063412337
                  0.0214                    -0.064300917
                  0.0216                    -0.065194778
                  0.0218                     -0.06609391
                   0.022                    -0.066998308
                  0.0222                    -0.067907964
                  0.0224                     -0.06882287
                  0.0226                    -0.069743019
                  0.0228                    -0.070668403
                   0.023                    -0.071599013
                  0.0232                    -0.072534843
                  0.0234                    -0.073475885
                  0.0236                    -0.074422129
                  0.0238                    -0.075373569
                   0.024                    -0.076330195
                  0.0242                    -0.077292001
                  0.0244                    -0.078258977
                  0.0246                    -0.079231114
                  0.0248                    -0.080208405
                   0.025                    -0.081190841
                  0.0252                    -0.082178414
                  0.0254                    -0.083171114
                  0.0256                    -0.084168932
                  0.0258                    -0.085171861
                   0.026                     -0.08617989
                  0.0262                    -0.087193012
                  0.0264                    -0.088211216
                  0.0266                    -0.089234494
                  0.0268                    -0.090262837
                   0.027                    -0.091296235
                  0.0272                    -0.092334679
                  0.0274                     -0.09337816
                  0.0276                    -0.094426668
                  0.0278                    -0.095480193
                   0.028                    -0.096538726
                  0.0282                    -0.097602258
                  0.0284                    -0.098670778
                  0.0286                    -0.099744277
                  0.0288                     -0.10082274
                   0.029                     -0.10190617
                  0.0292                     -0.10299455
                  0.0294                     -0.10408786
                  0.0296                     -0.10518611
                  0.0298                     -0.10628927
                    0.03                     -0.10739734
                  0.0302                     -0.10851031
                  0.0304                     -0.10962816
                  0.0306                      -0.1107509
                  0.0308                      -0.1118785
                   0.031                     -0.11301096
                  0.0312                     -0.11414826
                  0.0314                      -0.1152904
                  0.0316                     -0.11643737
                  0.0318                     -0.11758915
                   0.032                     -0.11874573
                  0.0322                      -0.1199071
                  0.0324                     -0.12107326
                  0.0326                     -0.12224418
                  0.0328                     -0.12341987
                   0.033                      -0.1246003
                  0.0332                     -0.12578547
                  0.0334                     -0.12697537
                  0.0336                     -0.12816999
                  0.0338                      -0.1293693
                   0.034                     -0.13057331
                  0.0342                       -0.131782
                  0.0344                     -0.13299536
                  0.0346                     -0.13421338
                  0.0348                     -0.13543605
                   0.035                     -0.13666335
                  0.0352                     -0.13789528
                  0.0354                     -0.13913182
                  0.0356                     -0.14037296
                  0.0358                     -0.14161868
                   0.036                     -0.14286899
                  0.0362                     -0.14412386
                  0.0364                     -0.14538328
                  0.0366                     -0.14664725
                  0.0368                     -0.14791574
                   0.037                     -0.14918876
                  0.0372                     -0.15046628
                  0.0374                     -0.15174829
                  0.0376                     -0.15303478
                  0.0378                     -0.15432575
                   0.038                     -0.15562117
                  0.0382                     -0.15692104
                  0.0384                     -0.15822534
                  0.0386                     -0.15953406
                  0.0388                     -0.16084719
                   0.039                     -0.16216471
                  0.0392                     -0.16348662
                  0.0394                      -0.1648129
                  0.0396                     -0.16614354
                  0.0398                     -0.16747852
                    0.04                     -0.16881784
                  0.0402                     -0.17016148
                  0.0404                     -0.17150943
                  0.0406                     -0.17286168
                  0.0408                     -0.17421821
                   0.041                     -0.17557901
                  0.0412                     -0.17694406
                  0.0414                     -0.17831336
                  0.0416                      -0.1796869
                  0.0418                     -0.18106465
                   0.042                     -0.18244661
                  0.0422                     -0.18383277
                  0.0424                      -0.1852231
                  0.0426                     -0.18661761
                  0.0428                     -0.18801627
                   0.043                     -0.18941907
                  0.0432                       -0.190826
                  0.0434                     -0.19223704
                  0.0436                     -0.19365219
                  0.0438                     -0.19507143
                   0.044                     -0.19649474
                  0.0442                     -0.19792212
                  0.0444                     -0.19935355
                  0.0446                     -0.20078901
                  0.0448                      -0.2022285
                   0.045                       -0.203672
                  0.0452                      -0.2051195
                  0.0454                     -0.20657098
                  0.0456                     -0.20802643
                  0.0458                     -0.20948584
                   0.046                     -0.21094919
                  0.0462                     -0.21241647
                  0.0464                     -0.21388767
                  0.0466                     -0.21536277
                  0.0468                     -0.21684177
                   0.047                     -0.21832463
                  0.0472                     -0.21981137
                  0.0474                     -0.22130195
                  0.0476                     -0.22279637
                  0.0478                     -0.22429461
                   0.048                     -0.22579666
                  0.0482                      -0.2273025
                  0.0484                     -0.22881213
                  0.0486                     -0.23032552
                  0.0488                     -0.23184267
                   0.049                     -0.23336356
                  0.0492                     -0.23488817
                  0.0494                      -0.2364165
                  0.0496                     -0.23794853
                  0.0498                     -0.23948425
                    0.05                     -0.24102363
                  0.0502                     -0.24256668
                  0.0504                     -0.24411337
                  0.0506                     -0.24566369
                  0.0508                     -0.24721762
                   0.051                     -0.24877516
                  0.0512                     -0.25033629
                  0.0514                     -0.25190099
                  0.0516                     -0.25346926
                  0.0518                     -0.25504107
                   0.052                     -0.25661641
                  0.0522                     -0.25819528
                  0.0524                     -0.25977765
                  0.0526                     -0.26136351
                  0.0528                     -0.26295286
                   0.053                     -0.26454566
                  0.0532                     -0.26614191
                  0.0534                     -0.26774161
                  0.0536                     -0.26934472
                  0.0538                     -0.27095124
                   0.054                     -0.27256115
                  0.0542                     -0.27417445
                  0.0544                     -0.27579111
                  0.0546                     -0.27741112
                  0.0548                     -0.27903447
                   0.055                     -0.28066115
                  0.0552                     -0.28229113
                  0.0554                     -0.28392442
                  0.0556                     -0.28556098
