        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                      -43.944159
                   0.002                      -51.748068
                   0.004                      -45.756034
                   0.006                      -42.239077
                   0.008                      -39.741733
                    0.01                      -37.803913
                   0.012                      -36.221045
                   0.014                      -34.882914
                   0.016                      -33.723504
                   0.018                      -32.700791
                    0.02                      -31.786098
                   0.022                      -30.958962
                   0.024                      -30.204016
                   0.026                      -29.509677
                   0.028                      -28.866975
                    0.03                      -28.268797
                   0.032                      -27.709422
                   0.034                      -27.184134
                   0.036                      -26.689036
                   0.038                      -26.220876
                    0.04                      -25.776904
                   0.042                      -25.354783
                   0.044                      -24.952468
                   0.046                      -24.568197
                   0.048                      -24.200446
                    0.05                      -23.847879
                   0.052                      -23.509325
                   0.054                      -23.183714
                   0.056                      -22.870104
                   0.058                      -22.567661
                    0.06                      -22.275641
                   0.062                       -21.99338
                   0.064                      -21.720252
                   0.066                      -21.455685
                   0.068                      -21.199172
                    0.07                      -20.950251
                   0.072                      -20.708514
                   0.074                      -20.473575
                   0.076                      -20.245066
                   0.078                      -20.022658
                    0.08                      -19.806046
                   0.082                      -19.594957
                   0.084                      -19.389117
                   0.086                      -19.188273
                   0.088                      -18.992206
                    0.09                       -18.80071
                   0.092                      -18.613602
                   0.094                      -18.430679
                   0.096                      -18.251759
                   0.098                      -18.076687
                     0.1                      -17.905314
                   0.102                      -17.737514
                   0.104                      -17.573132
                   0.106                      -17.412031
                   0.108                      -17.254099
                    0.11                      -17.099227
                   0.112                      -16.947322
                   0.114                      -16.798264
                   0.116                      -16.651949
                   0.118                      -16.508289
                    0.12                      -16.367205
                   0.122                      -16.228629
                   0.124                      -16.092463
                   0.126                      -15.958623
                   0.128                      -15.827046
                    0.13                      -15.697668
                   0.132                       -15.57044
                   0.134                      -15.445286
                   0.136                      -15.322134
                   0.138                      -15.200927
                    0.14                      -15.081611
                   0.142                       -14.96415
                   0.144                      -14.848496
                   0.146                      -14.734594
                   0.148                      -14.622396
                    0.15                      -14.511859
                   0.152                      -14.402952
                   0.154                      -14.295619
                   0.156                      -14.189815
                   0.158                      -14.085508
                    0.16                      -13.982667
                   0.162                      -13.881272
                   0.164                      -13.781272
                   0.166                      -13.682626
                   0.168                      -13.585308
                    0.17                      -13.489295
                   0.172                      -13.394571
                   0.174                       -13.30109
                   0.176                      -13.208818
                   0.178                      -13.117734
                    0.18                      -13.027819
                   0.182                      -12.939061
                   0.184                       -12.85142
                   0.186                      -12.764864
                   0.188                      -12.679377
                    0.19                      -12.594943
                   0.192                      -12.511556
                   0.194                      -12.429177
                   0.196                      -12.347779
                   0.198                      -12.267349
                     0.2                      -12.187873
                   0.202                      -12.109348
                   0.204                      -12.031738
                   0.206                       -11.95502
                   0.208                      -11.879182
                    0.21                      -11.804213
                   0.212                      -11.730113
                   0.214                      -11.656848
                   0.216                      -11.584396
                   0.218                       -11.51275
                    0.22                      -11.441899
                   0.222                      -11.371845
                   0.224                      -11.302556
                   0.226                      -11.234013
                   0.228                      -11.166209
                    0.23                      -11.099136
                   0.232                      -11.032798
                   0.234                      -10.967163
                   0.236                      -10.902215
                   0.238                      -10.837947
                    0.24                      -10.774354
                   0.242                      -10.711439
                   0.244                      -10.649175
                   0.246                      -10.587544
                   0.248                      -10.526543
                    0.25                      -10.466165
                   0.252                      -10.406417
                   0.254                      -10.347272
                   0.256                      -10.288713
                   0.258                      -10.230738
                    0.26                      -10.173342
                   0.262                      -10.116533
                   0.264                      -10.060288
                   0.266                      -10.004589
                   0.268                      -9.9494276
                    0.27                      -9.8947964
                   0.272                      -9.8407015
                   0.274                      -9.7871392
                   0.276                      -9.7340935
                   0.278                      -9.6815574
                    0.28                       -9.629524
                   0.282                      -9.5779962
                   0.284                      -9.5269547
                   0.286                      -9.4763871
                   0.288                       -9.426292
                    0.29                      -9.3766683
                   0.292                       -9.327523
                   0.294                      -9.2788335
                   0.296                      -9.2305874
                   0.298                      -9.1827839
                     0.3                      -9.1354223
                   0.302                        -9.08851
                   0.304                      -9.0420253
                   0.306                      -8.9959562
                   0.308                      -8.9503024
                    0.31                      -8.9050638
                   0.312                       -8.860248
                   0.314                      -8.8158339
                   0.316                      -8.7718103
                   0.318                      -8.7281771
                    0.32                      -8.6849346
                   0.322                      -8.6420906
                   0.324                      -8.5996249
                   0.326                      -8.5575265
                   0.328                      -8.5157958
                    0.33                      -8.4744333
                   0.332                      -8.4334473
                   0.334                      -8.3928178
                   0.336                      -8.3525344
                   0.338                      -8.3125979
                    0.34                       -8.273009
                   0.342                      -8.2337761
                   0.344                      -8.1948799
                   0.346                      -8.1563103
                   0.348                      -8.1180683
                    0.35                      -8.0801549
                   0.352                      -8.0425788
                   0.354                      -8.0053209
                   0.356                      -7.9683717
                   0.358                      -7.9317324
                    0.36                      -7.8954041
                   0.362                      -7.8593956
                   0.364                      -7.8236885
                   0.366                      -7.7882734
                   0.368                      -7.7531517
                    0.37                      -7.7183249
                   0.372                      -7.6838017
                   0.374                      -7.6495641
                   0.376                      -7.6156031
                   0.378                      -7.5819203
                    0.38                      -7.5485173
                   0.382                      -7.5154028
                   0.384                      -7.4825594
                   0.386                      -7.4499783
                   0.388                      -7.4176612
                    0.39                      -7.3856098
                   0.392                       -7.353833
                   0.394                      -7.3223137
                   0.396                      -7.2910433
                   0.398                      -7.2600237
                     0.4                      -7.2292568
                   0.402                      -7.1987514
                   0.404                      -7.1684908
                   0.406                      -7.1384666
                   0.408                       -7.108681
                    0.41                      -7.0791358
                   0.412                        -7.04984
                   0.414                       -7.020777
                   0.416                      -6.9919389
                   0.418                      -6.9633278
                    0.42                      -6.9349457
                   0.422                      -6.9068015
                   0.424                      -6.8788791
                   0.426                      -6.8511707
                   0.428                      -6.8236784
                    0.43                      -6.7964045
                   0.432                      -6.7693577
                   0.434                      -6.7425223
                   0.436                      -6.7158907
                   0.438                      -6.6894652
                    0.44                      -6.6632479
                   0.442                      -6.6372477
                   0.444                       -6.611449
                   0.446                      -6.5858447
                   0.448                      -6.5604368
                    0.45                      -6.5352277
                   0.452                      -6.5102262
                   0.454                      -6.4854172
                   0.456                      -6.4607933
                   0.458                       -6.436357
                    0.46                      -6.4121106
                   0.462                      -6.3880629
                   0.464                      -6.3641989
                   0.466                      -6.3405116
                   0.468                      -6.3170035
                    0.47                      -6.2936769
                   0.472                      -6.2705405
                   0.474                      -6.2475796
                   0.476                      -6.2247876
                   0.478                      -6.2021667
                    0.48                      -6.1797194
                   0.482                      -6.1574543
                   0.484                      -6.1353571
                   0.486                      -6.1134211
                   0.488                      -6.0916488
                    0.49                      -6.0700426
                   0.492                       -6.048611
                   0.494                      -6.0273401
                   0.496                      -6.0062232
                   0.498                      -5.9852629
                     0.5                      -5.9644617
                   0.502                      -5.9438279
                   0.504                      -5.9233479
                   0.506                      -5.9030153
                   0.508                      -5.8828325
                    0.51                       -5.862802
                   0.512                      -5.8429323
                   0.514                      -5.8232098
                   0.516                      -5.8036282
                   0.518                      -5.7841902
                    0.52                      -5.7648981
                   0.522                      -5.7457603
                   0.524                      -5.7267636
                   0.526                      -5.7079018
                   0.528                      -5.6891775
                    0.53                      -5.6705931
                   0.532                       -5.652157
                   0.534                       -5.633856
                   0.536                      -5.6156842
                   0.538                      -5.5976442
                    0.54                      -5.5797384
                   0.542                       -5.561975
                   0.544                      -5.5443413
                   0.546                      -5.5268313
                   0.548                      -5.5094476
                    0.55                      -5.4921927
                   0.552                      -5.4750747
                   0.554                      -5.4580811
                   0.556                      -5.4412061
                   0.558                      -5.4244522
                    0.56                       -5.407822
                   0.562                      -5.3913234
                   0.564                      -5.3749441
                   0.566                      -5.3586786
                   0.568                      -5.3425293
                    0.57                      -5.3264987
                   0.572                      -5.3105948
                   0.574                      -5.2948054
                   0.576                       -5.279125
                   0.578                      -5.2635563
                    0.58                      -5.2481015
                   0.582                      -5.2327687
                   0.584                      -5.2175459
                   0.586                      -5.2024277
                   0.588                      -5.1874166
                    0.59                      -5.1725151
                   0.592                      -5.1577309
                   0.594                      -5.1430525
                   0.596                      -5.1284744
                   0.598                      -5.1139992
                     0.6                      -5.0996293
                   0.602                      -5.0853725
                   0.604                      -5.0712172
                   0.606                      -5.0571583
                   0.608                      -5.0431982
                    0.61                      -5.0293394
                   0.612                      -5.0155896
                   0.614                      -5.0019373
                   0.616                      -4.9883776
                   0.618                      -4.9749128
                    0.62                      -4.9615455
                   0.622                      -4.9482832
                   0.624                      -4.9351147
                   0.626                       -4.922035
                   0.628                      -4.9090467
                    0.63                      -4.8961522
                   0.632                      -4.8833588
                   0.634                      -4.8706557
                   0.636                       -4.858038
                   0.638                       -4.845508
                    0.64                      -4.8330684
                   0.642                      -4.8207263
                   0.644                       -4.808471
                   0.646                      -4.7962978
                   0.648                      -4.7842091
                    0.65                      -4.7722072
                   0.652                      -4.7602995
                   0.654                      -4.7484754
                   0.656                        -4.73673
                   0.658                       -4.725066
                    0.66                      -4.7134857
                   0.662                      -4.7019962
                   0.664                      -4.6905871
                   0.666                      -4.6792538
                   0.668                      -4.6679988
                    0.67                      -4.6568243
                   0.672                      -4.6457376
                   0.674                      -4.6347283
                   0.676                      -4.6237919
                   0.678                      -4.6129308
                    0.68                      -4.6021473
                   0.682                      -4.5914485
                   0.684                      -4.5808243
                   0.686                      -4.5702703
                   0.688                      -4.5597887
                    0.69                       -4.549382
                   0.692                      -4.5390571
                   0.694                       -4.528804
                   0.696                      -4.5186184
                   0.698                      -4.5085026
                     0.7                      -4.4984589
                   0.702                      -4.4884943
                   0.704                      -4.4785989
                   0.706                      -4.4687684
                   0.708                      -4.4590052
                    0.71                      -4.4493115
                   0.712                      -4.4396942
                   0.714                      -4.4301437
                   0.716                      -4.4206556
                   0.718                      -4.4112323
                    0.72                      -4.4018762
                   0.722                      -4.3925938
                   0.724                      -4.3833757
                   0.726                      -4.3742178
                   0.728                      -4.3651224
                    0.73                      -4.3560918
                   0.732                      -4.3471324
                   0.734                      -4.3382351
                   0.736                      -4.3293957
                   0.738                      -4.3206165
                    0.74                      -4.3118999
                   0.742                      -4.3032521
                   0.744                      -4.2946642
                   0.746                      -4.2861321
                   0.748                      -4.2776581
                    0.75                      -4.2692444
                   0.752                      -4.2608974
                   0.754                       -4.252608
                   0.756                      -4.2443725
                   0.758                       -4.236193
                    0.76                      -4.2280716
                   0.762                      -4.2200148
                   0.764                      -4.2120137
                   0.766                      -4.2040644
                   0.768                      -4.1961691
                    0.77                        -4.18833
                   0.772                      -4.1805533
                   0.774                      -4.1728304
                   0.776                      -4.1651575
                   0.778                      -4.1575366
                    0.78                        -4.14997
                   0.782                      -4.1424639
                   0.784                      -4.1350096
                   0.786                      -4.1276035
                   0.788                      -4.1202477
                    0.79                      -4.1129443
                   0.792                      -4.1056994
                   0.794                      -4.0985046
                   0.796                      -4.0913562
                   0.798                      -4.0842563
                     0.8                      -4.0772071
                   0.802                      -4.0702146
                   0.804                      -4.0632705
                   0.806                      -4.0563711
                   0.808                      -4.0495185
                    0.81                      -4.0427149
                   0.812                      -4.0359663
                   0.814                      -4.0292643
                   0.816                      -4.0226054
                   0.818                      -4.0159919
                    0.82                      -4.0094256
                   0.822                      -4.0029125
                   0.824                      -3.9964446
                   0.826                      -3.9900183
                   0.828                      -3.9836356
                    0.83                      -3.9772988
                   0.832                      -3.9710135
                   0.834                      -3.9647717
                   0.836                      -3.9585702
                   0.838                      -3.9524108
                    0.84                      -3.9462957
                   0.842                      -3.9402305
                   0.844                      -3.9342075
                   0.846                      -3.9282232
                   0.848                      -3.9222798
                    0.85                      -3.9163791
                   0.852                      -3.9105268
                   0.854                      -3.9047153
                   0.856                      -3.8989411
                   0.858                      -3.8932064
                    0.86                      -3.8875131
                   0.862                      -3.8818667
