        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -23.241297
                  0.5009                      -23.226829
                  0.5018                      -23.212392
                  0.5027                      -23.197984
                  0.5036                      -23.183606
                  0.5045                      -23.169257
                  0.5054                      -23.154937
                  0.5063                      -23.140648
                  0.5072                      -23.126388
                  0.5081                      -23.112158
                   0.509                      -23.097956
                  0.5099                      -23.083783
                  0.5108                      -23.069639
                  0.5117                      -23.055525
                  0.5126                      -23.041439
                  0.5135                      -23.027382
                  0.5144                      -23.013353
                  0.5153                      -22.999353
                  0.5162                      -22.985382
                  0.5171                      -22.971439
                   0.518                      -22.957524
                  0.5189                      -22.943636
                  0.5198                      -22.929777
                  0.5207                      -22.915946
                  0.5216                      -22.902144
                  0.5225                      -22.888368
                  0.5234                       -22.87462
                  0.5243                        -22.8609
                  0.5252                      -22.847208
                  0.5261                      -22.833543
                   0.527                      -22.819906
                  0.5279                      -22.806294
                  0.5288                      -22.792711
                  0.5297                      -22.779155
                  0.5306                      -22.765626
                  0.5315                      -22.752124
                  0.5324                      -22.738648
                  0.5333                      -22.725199
                  0.5342                      -22.711777
                  0.5351                      -22.698382
                   0.536                      -22.685013
                  0.5369                       -22.67167
                  0.5378                      -22.658354
                  0.5387                      -22.645064
                  0.5396                      -22.631801
                  0.5405                      -22.618563
                  0.5414                       -22.60535
                  0.5423                      -22.592165
                  0.5432                      -22.579005
                  0.5441                      -22.565871
                   0.545                      -22.552763
                  0.5459                      -22.539679
                  0.5468                      -22.526621
                  0.5477                      -22.513589
                  0.5486                      -22.500583
                  0.5495                      -22.487603
                  0.5504                      -22.474647
                  0.5513                      -22.461716
                  0.5522                      -22.448809
                  0.5531                      -22.435929
                   0.554                      -22.423074
                  0.5549                      -22.410243
                  0.5558                      -22.397437
                  0.5567                      -22.384655
                  0.5576                      -22.371898
                  0.5585                      -22.359166
                  0.5594                      -22.346457
                  0.5603                      -22.333773
                  0.5612                      -22.321115
                  0.5621                       -22.30848
                   0.563                       -22.29587
                  0.5639                      -22.283282
                  0.5648                       -22.27072
                  0.5657                      -22.258182
                  0.5666                      -22.245668
                  0.5675                      -22.233177
                  0.5684                      -22.220709
                  0.5693                      -22.208266
                  0.5702                      -22.195847
                  0.5711                      -22.183451
                   0.572                      -22.171078
                  0.5729                      -22.158729
                  0.5738                      -22.146403
                  0.5747                      -22.134101
                  0.5756                      -22.121822
                  0.5765                      -22.109566
                  0.5774                      -22.097332
